Row Number,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],ID,Memory Usage %,Timestamp [hr-m-s]
1,16,41599.985248,778.2663906813333,1.870833333333333,66961408.0,44739.2,0.0,37.06666666666667,16.4,12.8,VM016,0.0668134098972351,1970-01-16 22:18:34.880
2,16,41599.985248,760.9330634946666,1.8291666666666664,66961408.0,1297436.8,0.0,33.0,15.933333333333334,12.6,VM016,1.9375888870198188,1970-01-16 22:18:35.136
3,16,41599.985248,752.2663999013333,1.808333333333333,66961408.0,1252697.6,0.0,32.4,16.4,12.866666666666667,VM016,1.870775477122584,1970-01-16 22:18:35.392
4,16,41599.985248,755.7330653386666,1.8166666666666669,66961408.0,805305.6,0.0,31.33333333333333,16.0,12.466666666666669,VM016,1.2026413781502323,1970-01-16 22:18:35.776
5,16,41599.985248,779.9997233999999,1.875,66961408.0,492131.2,0.0,32.733333333333334,16.066666666666666,12.6,VM016,0.7349475088695865,1970-01-16 22:18:36.032
6,16,41599.985248,792.1330524306666,1.9041666666666663,66961408.0,715827.2,0.0,31.2,15.866666666666667,12.466666666666669,VM016,1.069014558355762,1970-01-16 22:18:36.288
7,16,41599.985248,755.7330653386666,1.8166666666666669,66961408.0,805305.6,0.0,32.53333333333333,15.8,12.466666666666669,VM016,1.2026413781502323,1970-01-16 22:18:36.672
8,16,41599.985248,731.4664072773334,1.7583333333333335,66961408.0,805305.6,0.0,32.46666666666667,16.066666666666666,12.666666666666666,VM016,1.2026413781502323,1970-01-16 22:18:36.928
9,16,41599.985248,717.5997455280001,1.725,66961408.0,268435.2,0.0,31.133333333333333,15.8,12.466666666666669,VM016,0.4008804593834108,1970-01-16 22:18:37.184
10,16,41599.985248,734.9330727146667,1.7666666666666666,66961408.0,402652.8,0.0,32.53333333333333,15.8,12.466666666666669,VM016,0.6013206890751163,1970-01-16 22:18:37.568
11,16,41599.985248,733.199739996,1.7625,66961408.0,268435.2,0.0,31.73333333333333,15.866666666666667,12.466666666666669,VM016,0.4008804593834108,1970-01-16 22:18:37.824
12,16,41599.985248,745.3330690266665,1.7916666666666663,66961408.0,671088.0,0.0,33.0,15.733333333333333,12.533333333333331,VM016,1.002201148458527,1970-01-16 22:18:38.208
13,16,41599.985248,771.3330598066666,1.8541666666666663,66961408.0,671088.0,0.0,37.06666666666666,15.866666666666667,12.466666666666669,VM016,1.002201148458527,1970-01-16 22:18:38.464
14,16,41599.985248,727.99974184,1.75,66961408.0,671088.0,0.0,32.06666666666667,15.866666666666667,12.333333333333334,VM016,1.002201148458527,1970-01-16 22:18:38.720
15,16,41599.985248,724.5330764026664,1.7416666666666665,66961408.0,894784.0,0.0,33.0,15.8,12.466666666666669,VM016,1.3362681979447026,1970-01-16 22:18:39.104
16,16,41599.985248,726.2664091213333,1.7458333333333331,66961408.0,1118480.0,0.0,30.666666666666668,15.8,12.466666666666669,VM016,1.6703352474308784,1970-01-16 22:18:39.360
17,16,41599.985248,714.1330800906667,1.7166666666666666,66961408.0,671088.0,0.0,33.4,15.866666666666667,12.333333333333334,VM016,1.002201148458527,1970-01-16 22:18:39.616
18,16,41599.985248,759.1997307759999,1.825,66961408.0,760566.4,0.0,31.066666666666663,15.8,12.4,VM016,1.1358279682529977,1970-01-16 22:18:40.000
19,16,41599.985248,759.1997307759999,1.825,66961408.0,894784.0,0.0,33.266666666666666,15.666666666666666,12.4,VM016,1.3362681979447026,1970-01-16 22:18:40.256
